CAT,CAT NAME (PT),F/R,L/R,U/L,I/O,MODEL,MDL NO,CROSS,CAR,MODEL,ANO DE I.,ANO FI.,TRSS,FRAME,ENGINE,SIZE,REMARK,PART NO.
BJ,ROTULAS,,LR,L,,ALL01,001L,,TOYOTA,ALLION,2001,2007,,NZT240,,,,BJ181L346
BJ,ROTULAS,,LR,L,,ALL07,002L,RUN02,TOYOTA,ALLION,2007,2021,,ZRT260,,,,BJ181L346
BJ,ROTULAS,,LR,L,,AXI06,029L,RUN02,TOYOTA,AXIO,2006,2011,,NZE141,,,,BJ181L346
BJ,ROTULAS,,LR,L,,COR96,061M,,TOYOTA,COROLLA,1996,2000,,AE110,,,,BJ181L346
BJ,ROTULAS,,LR,L,,FIL06,071L,RUN02,TOYOTA,FILDER,2006,2012,,NZE121,,,,BJ181L346
BJ,ROTULAS,,LR,L,,RUN02,181L,,TOYOTA,RUNX,2002,2006,,NZE121-AHPNK,,,,BJ181L346
BJ,ROTULAS,,LR,L,,SPR91,203M,RUN02,TOYOTA,SPRINTER ,1991,2000,,AE91,,,,BJ181L346
BJ,ROTULAS,,LR,U,,SUR95,209M,,TOYOTA,SURF,1995,2000,,KZN130,,,,BJ209M345
BJ,ROTULAS,,L,L,,SUR95,209M,,TOYOTA,SURF,1995,2000,,KZN130,,,,BJ209M36
BJ,ROTULAS,,R,L,,SUR95,209M,,TOYOTA,SURF,1995,2000,,KZN130,,,,BJ209M46
BJ,ROTULAS,,LR,L,,1400,,,NISSAN,1400,1996,2000,,B11,,,,BJ301M346
BJ,ROTULAS,,LR,L,,303L,,,NISSAN,ALMERA ,2001,2006,,TA-N16,,,,BJ303L346
BJ,ROTULAS,,LR,L,,CARV12,309K,,NISSAN,NISSAN,2012,2022,,CBF-VR2E26,,,,BJ309K346
BJ,ROTULAS,,LR,L,,NV35012,343K,,NISSAN,NAVARA,2012,2024,,CBF-VW2E26,,,,BJ309K346
BJ,ROTULAS,,LR,U,,1TON88,,,NISSAN,1TONNER ,1988,1990,,F22,,,,BJ316Z345
BJ,ROTULAS,,LR,U,,316Z,,,NISSAN,HARDBODY ,1988,1997,,D21,,,,BJ316Z345
BJ,ROTULAS,,LR,U,,PAT92,,,NISSAN,PATROL ,1992,1997,,E-WD21,,,,BJ316Z345
BJ,ROTULAS,,LR,U,,SAN86,,,HYUNDAI,SANTA,1986,,,,,,,BJ316Z345
BJ,ROTULAS,,LR,L,,1TON88,,,NISSAN,1TONNER ,1988,1990,,F22,,,,BJ316Z346
BJ,ROTULAS,,LR,L,,316Z,,,NISSAN,HARDBODY ,1988,1997,,D21,,,,BJ316Z346
BJ,ROTULAS,,LR,L,,PAT92,,,NISSAN,PATROL ,1992,1997,,E-WD21,,,,BJ316Z346
BJ,ROTULAS,,LR,U,,HAR98,317M,,NISSAN,HARDBODY ,1998,2004,,KC-LFD22,,,,BJ317M345
BJ,ROTULAS,,LR,U,,NP300,342L,,NISSAN,HARDBODY ,2008,2024,,LDF-D22,,,,BJ317M345
BJ,ROTULAS,,LR,L,,HAR98,317M,,NISSAN,HARDBODY ,1998,2004,,KC-LFD22,,,,BJ317M346
BJ,ROTULAS,,LR,L,,NP300,342L,,NISSAN,HARDBODY ,2008,2024,,LDF-D22,,,,BJ317M346
BJ,ROTULAS,,LR,L,,318V,,,NISSAN,JUKE,2010,2019,,DBA-YF15,,,,BJ318V346
BJ,ROTULAS,,LR,L,,322L,,,NISSAN,MARCH,2002,2010,,UA-AK12,,,,BJ322L346
BJ,ROTULAS,,LR,L,,NOT12,,,NISSAN,NOTE ,2012,2020,,DBA-E12,,,,BJ322L346
BJ,ROTULAS,,LR,L,,MAR10,324L,,NISSAN,MARCH ,2010,2019,,DBA-K13,,,,BJ324L346
BJ,ROTULAS,,LR,L,,326M,,,NISSAN,MAXIMA,1991,1994,,E-J30,,,,BJ326M346
BJ,ROTULAS,,LR,U,,NAV05,335V,,NISSAN,NAVARA,2005,2015,,CBA-D40,,,,BJ335V345
BJ,ROTULAS,,LR,U,,NAV10,336V,NAV05,NISSAN,NAVARA,2010,2015,,LDF-D40,,,,BJ335V345
BJ,ROTULAS,,LR,L,,NAV05,335V,,NISSAN,NAVARA,2005,2015,,CBA-D40,,,,BJ335V346
BJ,ROTULAS,,LR,L,,NAV10,336V,NAV05,NISSAN,NAVARA,2010,2015,,LDF-D40,,,,BJ335V346
BJ,ROTULAS,,LR,L,,341L,,,NISSAN,NP200 ,2008,2024,,,,,,BJ341L346
BJ,ROTULAS,,LR,L,,345L,,,NISSAN,PRIMERA,2002,2008,,UA-TP12,,,,BJ345L346
BJ,ROTULAS,,LR,L,,ALM01,,,NISSAN,ALMERA ,2001,2006,,TA-N16,,,,BJ345L346
BJ,ROTULAS,,LR,L,,DUA07,315V,,NISSAN,DUALS,2007,2013,,DBA-KJ10,,,,BJ349V346
BJ,ROTULAS,,LR,L,,MUR04,329V,QAS06,NISSAN,MURANO,2004,2007,,CBA-PZ50,,,,BJ349V346
BJ,ROTULAS,,LR,L,,MUR08,330V,QAS06,NISSAN,MURANO,2008,2014,,CBA-TZ51,,,,BJ349V346
BJ,ROTULAS,,LR,L,,QAS06,349V,,NISSAN,QASHQAI,2006,2013,,DBA-J10,,,,BJ349V346
BJ,ROTULAS,,LR,L,,QAS13,350U,QAS06,NISSAN,QASHQAI,2013,2021,,DBA-J11,,,,BJ349V346
BJ,ROTULAS,,LR,L,,QAS14,351U,QAS06,NISSAN,QASHQAI,2014,2021,,DBA-J11,,,,BJ349V346
BJ,ROTULAS,,LR,L,,357Z,,,NISSAN,SENTRA,1987,1990,,E-B12,,,,BJ357Z346
BJ,ROTULAS,,LR,L,,PRI98,,,NISSAN,PRIMERA,1998,2001,,GF-P11,,,,BJ357Z346
BJ,ROTULAS,,LR,L,,SUN90,,,NISSAN,SUNNY,1990,1993,,E-B13,,,,BJ357Z346
BJ,ROTULAS,,LR,L,,363L,,,NISSAN,TIIDA,2004,2012,,DBA-C11,,,,BJ363L346
BJ,ROTULAS,,LR,L,,AXE03,409L,,MAHINDRA,AXELA,2003,2009,,,,,,BJ409L346
BJ,ROTULAS,,LR,L,,AXE08,410L,AXE03,MAHINDRA,AXELA,2008,2013,,,,,,BJ409L346
BJ,ROTULAS,,LR,L,,413L,,,FORD,BANTAM ,2003,2011,,,,,,BJ413L346
BJ,ROTULAS,,LR,L,,323-84,,,MAHINDRA,323-84,1984,,,,,,,BJ415M346
BJ,ROTULAS,,LR,L,,415M,,,FORD,BANTAM ,1994,1990,,,,,,BJ415M346
BJ,ROTULAS,,LR,U,,420Z,,,MAHINDRA,B SERIE ,1967,1977,,,,,,BJ420Z345
BJ,ROTULAS,,LR,L,,420Z,,,MAHINDRA,B SERIE ,1967,1977,,,,,,BJ420Z346
BJ,ROTULAS,,LR,L,,DEM03,432L,,MAHINDRA,DEMIO,2003,2007,,,,,,BJ432L346
BJ,ROTULAS,,LR,L,,DEM07,433L,DEM03,MAHINDRA,DEMIO,2007,2014,,,,,,BJ432L346
BJ,ROTULAS,,LR,L,,VER03,463L,DEM03,MAHINDRA,VERISA ,2003,2011,,,,,,BJ432L346
BJ,ROTULAS,,LR,L,,VER08,217L,DEM03,TOYOTA,VERSO,2008,2018,,ZGR10,,,,BJ432L346
BJ,ROTULAS,,LR,L,,439M,,,MAHINDRA,ESTINA ,1995,2000,,,,,,BJ439M346
BJ,ROTULAS,,LR,U,,BT5007,421L,,MAHINDRA,BT50,2007,2011,,ALUA07,,,,BJ455L345
BJ,ROTULAS,,LR,U,,RAN00,454L,RAN07,FORD,RANGER ,2000,2006,,,,,,BJ455L345
BJ,ROTULAS,,LR,U,,RAN07,455L,,FORD,RANGER ,2007,2012,,,,,,BJ455L345
BJ,ROTULAS,,LR,L,,BT5007,421L,,MAHINDRA,BT50,2007,2011,,ALUA07,,,,BJ455L346
BJ,ROTULAS,,LR,L,,RAN00,454L,RAN07,FORD,RANGER ,2000,2006,,,,,,BJ455L346
BJ,ROTULAS,,LR,L,,RAN07,455L,,FORD,RANGER ,2007,2012,,,,,,BJ455L346
BJ,ROTULAS,,LR,U,,BT5012,422U,,MAHINDRA,BT50,2012,2020,,,,,,BJ456U345
BJ,ROTULAS,,LR,U,,RAN12,456U,,FORD,RANGER ,2012,2021,,,,,,BJ456U345
BJ,ROTULAS,,LR,L,,BT5012,422U,,MAHINDRA,BT50,2012,2020,,,,,,BJ456U346
BJ,ROTULAS,,LR,L,,RAN12,456U,,FORD,RANGER ,2012,2021,,,,,,BJ456U346
BJ,ROTULAS,,LR,U,,462V,,,FORD,TERRITORY ,2005,2016,,,,,,BJ462V345
BJ,ROTULAS,,LR,U,,DMA04,481V,DTE04,ISUZU,D-MAX,2004,2012,,,,,,BJ481V345
BJ,ROTULAS,,LR,U,,KB250,490L,,ISUZU,KB,2004,2012,,,,,,BJ481V345
BJ,ROTULAS,,LR,U,,KB280,492Z,KB250,ISUZU,KB,1980,1997,,,,,,BJ481V345
BJ,ROTULAS,,LR,L,,DMA04,481V,DTE04,ISUZU,D-MAX,2004,2012,,,,,,BJ486V346
BJ,ROTULAS,,LR,U,,490L,,,ISUZU,KB,2004,2012,,,,,,BJ490L345
BJ,ROTULAS,,LR,L,,KB250,490L,,ISUZU,KB,2004,2012,,,,,,BJ490L346
BJ,ROTULAS,,LR,L,,KB280,492Z,KB250,ISUZU,KB,1980,1997,,,,,,BJ490L346
BJ,ROTULAS,,LR,L,,494Z,,,ISUZU,RELAY ,1986,1995,,,,,,BJ494Z346
BJ,ROTULAS,,LR,L,,COL94,501M,,MITSUBISHI,COLT ,1994,1998,,,,,,BJ501M346
BJ,ROTULAS,,LR,L,,517Z,,,MITSUBISHI,PAJERO,1983,1991,,,,,,BJ517Z346
BJ,ROTULAS,,LR,L,,COL94,,,MITSUBISHI,COLT ,1994,1998,,,,,,BJ517Z346
BJ,ROTULAS,,LR,U,,COL98,502M,PAJ93,MITSUBISHI,COLT ,1998,2009,,,,,,BJ518M345
BJ,ROTULAS,,LR,U,,L300,511L,PAJ93,MITSUBISHI,L300,2006,2015,,,,,,BJ518M345
BJ,ROTULAS,,LR,U,,PAJ93,518M,,MITSUBISHI,PAJERO,1993,1999,,,,,,BJ518M345
BJ,ROTULAS,,LR,L,,PAJ93,518M,,MITSUBISHI,PAJERO,1993,1999,,,,,,BJ518M346
BJ,ROTULAS,,LR,U,,COL94,501M,,MITSUBISHI,COLT ,1994,1998,,,,,,BJ520M345
BJ,ROTULAS,,LR,U,,PAJ01,516L,PAJ99,MITSUBISHI,PAJERO,2001,2006,,,,,,BJ520M345
BJ,ROTULAS,,LR,U,,PAJ97,519M,PAJ99,MITSUBISHI,PAJERO,1997,1999,,,,,,BJ520M345
BJ,ROTULAS,,LR,U,,PAJ99,520M,,MITSUBISHI,PAJERO,1999,2006,,,,,,BJ520M345
BJ,ROTULAS,,LR,U,,TRI05,525V,,MITSUBISHI,TRITON,2005,2015,,,,,,BJ520M345
BJ,ROTULAS,,L,L,,COL98,502M,,MITSUBISHI,COLT ,1998,2009,,,,,,BJ520M36
BJ,ROTULAS,,L,L,,PAJ99,520M,,MITSUBISHI,PAJERO,1999,2006,,,,,,BJ520M36
BJ,ROTULAS,,L,L,,TRI05,525V,,MITSUBISHI,TRITON,2005,2015,,,,,,BJ520M36
BJ,ROTULAS,,R,L,,COL98,502M,,MITSUBISHI,COLT ,1998,2009,,,,,,BJ520M46
BJ,ROTULAS,,R,L,,PAJ99,520M,,MITSUBISHI,PAJERO,1999,2006,,,,,,BJ520M46
BJ,ROTULAS,,R,L,,TRI05,525V,,MITSUBISHI,TRITON,2005,2015,,,,,,BJ520M46
BJ,ROTULAS,,LR,L,,TRI05,525V,,MITSUBISHI,TRITON,2005,2015,,,,,,BJ525V346
BJ,ROTULAS,,LR,L,,551L,,,HONDA,ACCORD ,2008,2012,,,,,,BJ551L346
BJ,ROTULAS,,LR,U,,557L,,,HONDA,CIVIC,2002,2005,,,,,,BJ557L345
